uid,pid,sadd,scity,scounty,lan_val,rgisacre,lat,lon
04800000001600_ALBEMARLE_VA_541A939D-6758-4881-AE4A-233EF36CA86F,04800000001600,"3929 STONY POINT RD, KESWICK 22947",KESWICK,ALBEMARLE,99000,2.43546,38.111625,-78.36763599999999
130A2000008700_ALBEMARLE_VA_3950642D-2EFE-4BA0-8364-A8959C634655,130A2000008700,"410 HARRISON ST, SCOTTSVILLE 24590",SCOTTSVILLE,ALBEMARLE,27300,0.21891,37.799185,-78.496749
08200000000700_ALBEMARLE_VA_AD6580B1-3FDC-413E-B94C-ED0BEED2232D,08200000000700,"2020 PADDOCK WOOD RD, KESWICK 22947",KESWICK,ALBEMARLE,21400,0.49559,38.040322,-78.276717
128B0000000300_ALBEMARLE_VA_9D451091-4259-435F-895F-4FB527F1F4F9,128B0000000300,"7484 ESMONT RD, ESMONT 22937",ESMONT,ALBEMARLE,37500,2.37041,37.834359,-78.608019
046000000026F0_ALBEMARLE_VA_F005DACE-45CB-4F16-8A49-119099619D4C,046000000026F0,"1700 ASHWOOD BLVD, HOLLYMEAD 22911",HOLLYMEAD,ALBEMARLE,1526800,20.049760000000003,38.108745,-78.437605
83-A-30_CAROLINE_VA_F1C15554-8DD1-42CB-9B5D-094B1B32FA18,83-A-30,"25035 RUTHER GLEN RD, RUTHER GLEN 22546",RUTHER GLEN,CAROLINE,36000,1.41178,37.92267,-77.45169
54-92_CHARLES-CITY_VA_6FAF3B56-3573-4C49-A51A-C1366F2F1D39,54-92,CHARLES CITY 23030,CHARLES CITY,CHARLES-CITY,100,11.6027,37.3246,-77.038082
16 A 62_CLARKE_VA_A74F1DE8-C081-44C3-97F7-CF42F1386700,16 A 62,"3568 WICKLIFFE RD, BERRYVILLE 22611",BERRYVILLE,CLARKE,107500,2.0521,39.165995,-77.891836
9819_ESSEX_VA_50A8BF45-52B5-4C39-8CC1-52B74F2C72EF,9819,"COLNBROOK RD, CENTER CROSS 22437",CENTER CROSS,ESSEX,20426,6.19297,37.770686000000005,-76.75107700000001
0054 08      G_FAIRFAX_VA_2A63344F-D4B7-4EE2-9C57-C5778E1B3F6F,0054 08      G,STERLING 20164,STERLING,FAIRFAX,55000,2.47778,39.000601,-77.384157
0474 01  0023D_FAIRFAX_VA_830E80B2-D35E-4C98-826A-E2ACE1B825AD,0474 01  0023D,"3401 CHAIN BRIDGE RD, FAIRFAX 22030",FAIRFAX,FAIRFAX,544000,1.95984,38.863606999999995,-77.306159
0971 01  0023A_FAIRFAX_VA_82442BB8-981D-4C9C-B9CA-E2EB99968B2F,0971 01  0023A,FAIRFAX STATION 22039,FAIRFAX STATION,FAIRFAX,495000,4.2735900000000004,38.736503,-77.283008
0971 01  0022_FAIRFAX_VA_95F54F54-E1F6-4D43-AAC2-429BEFE72061,0971 01  0022,"8116 OX RD, FAIRFAX STATION 22039",FAIRFAX STATION,FAIRFAX,514000,4.25734,38.736056,-77.28195199999999
7902-73-0907-000_FAUQUIER_VA_A588EEC6-02EA-439D-A5A1-F9B06C76C04F,7902-73-0907-000,"5108 WESTON RD, CASANOVA 20187",CASANOVA,FAUQUIER,135000,0.05099,38.658922,-77.715228
7902-74-0022-000_FAUQUIER_VA_CEFE2AEA-14EA-405D-B52B-50E3143D8A2C,7902-74-0022-000,UNASSIGNED 20187,UNASSIGNED,FAUQUIER,1500,0.0655,38.659029,-77.715151
7779-72-5888_FREDERICKSBURG_VA_A5229366-6F88-416F-AE63-4A84C6C9F50E,7779-72-5888,"820 COLLEGE AVE, FREDERICKSBURG 22401",FREDERICKSBURG,FREDERICKSBURG,150000,0.17156,38.297095,-77.473198
42-1-0-45-A_GOOCHLAND_VA_8540EBB9-3279-4CB6-8FA4-C31A36A6386A,42-1-0-45-A,"2955 RIVER RD WEST, GOOCHLAND 23063",GOOCHLAND,GOOCHLAND,58700,0.68014,37.683386000000006,-77.885839
